"Statistic Label","Year","Source of Tax Funds","UNIT","VALUE"
"Risk Equalisation Fund (D214G)","2014","General Government - Total (S.13)","€milllion","581.9"
"Risk Equalisation Fund (D214G)","2014","General Government - Central Government (S.1311)","€milllion","581.9"
"Risk Equalisation Fund (D214G)","2014","General Government - Local Government (S.1313)","€milllion",""
"Risk Equalisation Fund (D214G)","2014","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Risk Equalisation Fund (D214G)","2014","Rest of World (S.212)","€milllion",""
"Risk Equalisation Fund (D214G)","2015","General Government and Rest of World  (S.13+S.212)","€milllion","641.5"
"Risk Equalisation Fund (D214G)","2015","General Government - Total (S.13)","€milllion","641.5"
"Risk Equalisation Fund (D214G)","2015","General Government - Central Government (S.1311)","€milllion","641.5"
"Risk Equalisation Fund (D214G)","2015","General Government - Local Government (S.1313)","€milllion",""
"Risk Equalisation Fund (D214G)","2015","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Risk Equalisation Fund (D214G)","2015","Rest of World (S.212)","€milllion",""
"Risk Equalisation Fund (D214G)","2016","General Government and Rest of World  (S.13+S.212)","€milllion","731.3"
"Risk Equalisation Fund (D214G)","2016","General Government - Total (S.13)","€milllion","731.3"
"Risk Equalisation Fund (D214G)","2016","General Government - Central Government (S.1311)","€milllion","731.3"
"Risk Equalisation Fund (D214G)","2016","General Government - Local Government (S.1313)","€milllion",""
"Risk Equalisation Fund (D214G)","2016","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Risk Equalisation Fund (D214G)","2016","Rest of World (S.212)","€milllion",""
"Risk Equalisation Fund (D214G)","2017","General Government and Rest of World  (S.13+S.212)","€milllion","683.8"
"Risk Equalisation Fund (D214G)","2017","General Government - Total (S.13)","€milllion","683.8"
"Risk Equalisation Fund (D214G)","2017","General Government - Central Government (S.1311)","€milllion","683.8"
"Risk Equalisation Fund (D214G)","2017","General Government - Local Government (S.1313)","€milllion",""
"Risk Equalisation Fund (D214G)","2017","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Risk Equalisation Fund (D214G)","2017","Rest of World (S.212)","€milllion",""
"Risk Equalisation Fund (D214G)","2018","General Government and Rest of World  (S.13+S.212)","€milllion","737.615"
"Risk Equalisation Fund (D214G)","2018","General Government - Total (S.13)","€milllion","737.615"
"Risk Equalisation Fund (D214G)","2018","General Government - Central Government (S.1311)","€milllion","737.615"
"Risk Equalisation Fund (D214G)","2018","General Government - Local Government (S.1313)","€milllion",""
"Risk Equalisation Fund (D214G)","2018","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Risk Equalisation Fund (D214G)","2018","Rest of World (S.212)","€milllion",""
"Risk Equalisation Fund (D214G)","2019","General Government and Rest of World  (S.13+S.212)","€milllion","757.7"
"Risk Equalisation Fund (D214G)","2019","General Government - Total (S.13)","€milllion","757.7"
"Risk Equalisation Fund (D214G)","2019","General Government - Central Government (S.1311)","€milllion","757.7"
"Risk Equalisation Fund (D214G)","2019","General Government - Local Government (S.1313)","€milllion",""
"Risk Equalisation Fund (D214G)","2019","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Risk Equalisation Fund (D214G)","2019","Rest of World (S.212)","€milllion",""
"Risk Equalisation Fund (D214G)","2020","General Government and Rest of World  (S.13+S.212)","€milllion","773.8"
"Risk Equalisation Fund (D214G)","2020","General Government - Total (S.13)","€milllion","773.8"
"Risk Equalisation Fund (D214G)","2020","General Government - Central Government (S.1311)","€milllion","773.8"
"Risk Equalisation Fund (D214G)","2020","General Government - Local Government (S.1313)","€milllion",""
"Risk Equalisation Fund (D214G)","2020","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Risk Equalisation Fund (D214G)","2020","Rest of World (S.212)","€milllion",""
"Risk Equalisation Fund (D214G)","2021","General Government and Rest of World  (S.13+S.212)","€milllion","809.1"
"Risk Equalisation Fund (D214G)","2021","General Government - Total (S.13)","€milllion","809.1"
"Risk Equalisation Fund (D214G)","2021","General Government - Central Government (S.1311)","€milllion","809.1"
"Risk Equalisation Fund (D214G)","2021","General Government - Local Government (S.1313)","€milllion",""
"Risk Equalisation Fund (D214G)","2021","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Risk Equalisation Fund (D214G)","2021","Rest of World (S.212)","€milllion",""
"Risk Equalisation Fund (D214G)","2022","General Government and Rest of World  (S.13+S.212)","€milllion","797.1"
"Risk Equalisation Fund (D214G)","2022","General Government - Total (S.13)","€milllion","797.1"
"Risk Equalisation Fund (D214G)","2022","General Government - Central Government (S.1311)","€milllion","797.1"
"Risk Equalisation Fund (D214G)","2022","General Government - Local Government (S.1313)","€milllion",""
"Risk Equalisation Fund (D214G)","2022","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Risk Equalisation Fund (D214G)","2022","Rest of World (S.212)","€milllion",""
"Risk Equalisation Fund (D214G)","2023","General Government and Rest of World  (S.13+S.212)","€milllion","798.77"
"Risk Equalisation Fund (D214G)","2023","General Government - Total (S.13)","€milllion","798.77"
"Risk Equalisation Fund (D214G)","2023","General Government - Central Government (S.1311)","€milllion","798.77"
"Risk Equalisation Fund (D214G)","2023","General Government - Local Government (S.1313)","€milllion",""
"Risk Equalisation Fund (D214G)","2023","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Risk Equalisation Fund (D214G)","2023","Rest of World (S.212)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","1995","General Government and Rest of World  (S.13+S.212)","€milllion","110.797"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","1995","General Government - Total (S.13)","€milllion","110.797"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","1995","General Government - Central Government (S.1311)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","1995","General Government - Local Government (S.1313)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","1995","General Government - Social Insurance Fund (S.1314)","€milllion","110.797"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","1995","Rest of World (S.212)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","1996","General Government and Rest of World  (S.13+S.212)","€milllion","118.784"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","1996","General Government - Total (S.13)","€milllion","118.784"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","1996","General Government - Central Government (S.1311)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","1996","General Government - Local Government (S.1313)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","1996","General Government - Social Insurance Fund (S.1314)","€milllion","118.784"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","1996","Rest of World (S.212)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","1997","General Government and Rest of World  (S.13+S.212)","€milllion","157.943"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","1997","General Government - Total (S.13)","€milllion","157.943"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","1997","General Government - Central Government (S.1311)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","1997","General Government - Local Government (S.1313)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","1997","General Government - Social Insurance Fund (S.1314)","€milllion","157.943"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","1997","Rest of World (S.212)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","1998","General Government and Rest of World  (S.13+S.212)","€milllion","165.777"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","1998","General Government - Total (S.13)","€milllion","165.777"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","1998","General Government - Central Government (S.1311)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","1998","General Government - Local Government (S.1313)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","1998","General Government - Social Insurance Fund (S.1314)","€milllion","165.777"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","1998","Rest of World (S.212)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","1999","General Government and Rest of World  (S.13+S.212)","€milllion","205.456"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","1999","General Government - Total (S.13)","€milllion","205.456"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","1999","General Government - Central Government (S.1311)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","1999","General Government - Local Government (S.1313)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","1999","General Government - Social Insurance Fund (S.1314)","€milllion","205.456"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","1999","Rest of World (S.212)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2000","General Government and Rest of World  (S.13+S.212)","€milllion","190.054"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2000","General Government - Total (S.13)","€milllion","190.054"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2000","General Government - Central Government (S.1311)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2000","General Government - Local Government (S.1313)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2000","General Government - Social Insurance Fund (S.1314)","€milllion","190.054"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2000","Rest of World (S.212)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2001","General Government and Rest of World  (S.13+S.212)","€milllion","189"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2001","General Government - Total (S.13)","€milllion","189"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2001","General Government - Central Government (S.1311)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2001","General Government - Local Government (S.1313)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2001","General Government - Social Insurance Fund (S.1314)","€milllion","189"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2001","Rest of World (S.212)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2002","General Government and Rest of World  (S.13+S.212)","€milllion","252"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2002","General Government - Total (S.13)","€milllion","252"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2002","General Government - Central Government (S.1311)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2002","General Government - Local Government (S.1313)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2002","General Government - Social Insurance Fund (S.1314)","€milllion","252"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2002","Rest of World (S.212)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2003","General Government and Rest of World  (S.13+S.212)","€milllion","277.7"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2003","General Government - Total (S.13)","€milllion","277.7"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2003","General Government - Central Government (S.1311)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2003","General Government - Local Government (S.1313)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2003","General Government - Social Insurance Fund (S.1314)","€milllion","277.7"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2003","Rest of World (S.212)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2004","General Government and Rest of World  (S.13+S.212)","€milllion","356.62"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2004","General Government - Total (S.13)","€milllion","356.62"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2004","General Government - Central Government (S.1311)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2004","General Government - Local Government (S.1313)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2004","General Government - Social Insurance Fund (S.1314)","€milllion","356.62"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2004","Rest of World (S.212)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2005","General Government and Rest of World  (S.13+S.212)","€milllion","388.04"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2005","General Government - Total (S.13)","€milllion","388.04"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2005","General Government - Central Government (S.1311)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2005","General Government - Local Government (S.1313)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2005","General Government - Social Insurance Fund (S.1314)","€milllion","388.04"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2005","Rest of World (S.212)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2006","General Government and Rest of World  (S.13+S.212)","€milllion","367.4431934"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2006","General Government - Total (S.13)","€milllion","367.4431934"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2006","General Government - Central Government (S.1311)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2006","General Government - Local Government (S.1313)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2006","General Government - Social Insurance Fund (S.1314)","€milllion","367.4431934"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2006","Rest of World (S.212)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2007","General Government and Rest of World  (S.13+S.212)","€milllion","420.8522543"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2007","General Government - Total (S.13)","€milllion","420.8522543"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2007","General Government - Central Government (S.1311)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2007","General Government - Local Government (S.1313)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2007","General Government - Social Insurance Fund (S.1314)","€milllion","420.8522543"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2007","Rest of World (S.212)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2008","General Government and Rest of World  (S.13+S.212)","€milllion","405.5826138"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2008","General Government - Total (S.13)","€milllion","405.5826138"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2008","General Government - Central Government (S.1311)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2008","General Government - Local Government (S.1313)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2008","General Government - Social Insurance Fund (S.1314)","€milllion","405.5826138"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2008","Rest of World (S.212)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2009","General Government and Rest of World  (S.13+S.212)","€milllion","314.7856012"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2009","General Government - Total (S.13)","€milllion","314.7856012"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2009","General Government - Central Government (S.1311)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2009","General Government - Local Government (S.1313)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2009","General Government - Social Insurance Fund (S.1314)","€milllion","314.7856012"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2009","Rest of World (S.212)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2010","General Government and Rest of World  (S.13+S.212)","€milllion","330.6027559"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2010","General Government - Total (S.13)","€milllion","330.6027559"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2010","General Government - Central Government (S.1311)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2010","General Government - Local Government (S.1313)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2010","General Government - Social Insurance Fund (S.1314)","€milllion","330.6027559"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2010","Rest of World (S.212)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2011","General Government and Rest of World  (S.13+S.212)","€milllion","348.3428105"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2011","General Government - Total (S.13)","€milllion","348.3428105"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2011","General Government - Central Government (S.1311)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2011","General Government - Local Government (S.1313)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2011","General Government - Social Insurance Fund (S.1314)","€milllion","348.3428105"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2011","Rest of World (S.212)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2012","General Government and Rest of World  (S.13+S.212)","€milllion","323.7397422"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2012","General Government - Total (S.13)","€milllion","323.7397422"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2012","General Government - Central Government (S.1311)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2012","General Government - Local Government (S.1313)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2012","General Government - Social Insurance Fund (S.1314)","€milllion","323.7397422"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2012","Rest of World (S.212)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2013","General Government and Rest of World  (S.13+S.212)","€milllion","403.4263462"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2013","General Government - Total (S.13)","€milllion","403.4263462"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2013","General Government - Central Government (S.1311)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2013","General Government - Local Government (S.1313)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2013","General Government - Social Insurance Fund (S.1314)","€milllion","403.4263462"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2013","Rest of World (S.212)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2014","General Government and Rest of World  (S.13+S.212)","€milllion","406.253"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2014","General Government - Total (S.13)","€milllion","406.253"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2014","General Government - Central Government (S.1311)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2014","General Government - Local Government (S.1313)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2014","General Government - Social Insurance Fund (S.1314)","€milllion","406.253"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2014","Rest of World (S.212)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2015","General Government and Rest of World  (S.13+S.212)","€milllion","460.087"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2015","General Government - Total (S.13)","€milllion","460.087"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2015","General Government - Central Government (S.1311)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2015","General Government - Local Government (S.1313)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2015","General Government - Social Insurance Fund (S.1314)","€milllion","460.087"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2015","Rest of World (S.212)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2016","General Government and Rest of World  (S.13+S.212)","€milllion","602.6"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2016","General Government - Total (S.13)","€milllion","602.6"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2016","General Government - Central Government (S.1311)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2016","General Government - Local Government (S.1313)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2016","General Government - Social Insurance Fund (S.1314)","€milllion","602.6"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2016","Rest of World (S.212)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2017","General Government and Rest of World  (S.13+S.212)","€milllion","521.759089"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2017","General Government - Total (S.13)","€milllion","521.759089"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2017","General Government - Central Government (S.1311)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2017","General Government - Local Government (S.1313)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2017","General Government - Social Insurance Fund (S.1314)","€milllion","521.759089"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2017","Rest of World (S.212)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2018","General Government and Rest of World  (S.13+S.212)","€milllion","604.539591"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2018","General Government - Total (S.13)","€milllion","604.539591"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2018","General Government - Central Government (S.1311)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2018","General Government - Local Government (S.1313)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2018","General Government - Social Insurance Fund (S.1314)","€milllion","604.539591"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2018","Rest of World (S.212)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2019","General Government and Rest of World  (S.13+S.212)","€milllion","632.327783"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2019","General Government - Total (S.13)","€milllion","632.327783"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2019","General Government - Central Government (S.1311)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2019","General Government - Local Government (S.1313)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2019","General Government - Social Insurance Fund (S.1314)","€milllion","632.327783"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2019","Rest of World (S.212)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2020","General Government and Rest of World  (S.13+S.212)","€milllion","632.4488824"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2020","General Government - Total (S.13)","€milllion","632.4488824"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2020","General Government - Central Government (S.1311)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2020","General Government - Local Government (S.1313)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2020","General Government - Social Insurance Fund (S.1314)","€milllion","632.4488824"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2020","Rest of World (S.212)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2021","General Government and Rest of World  (S.13+S.212)","€milllion","689.7749878"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2021","General Government - Total (S.13)","€milllion","689.7749878"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2021","General Government - Central Government (S.1311)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2021","General Government - Local Government (S.1313)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2021","General Government - Social Insurance Fund (S.1314)","€milllion","689.7749878"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2021","Rest of World (S.212)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2022","General Government and Rest of World  (S.13+S.212)","€milllion","630.9833271"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2022","General Government - Total (S.13)","€milllion","630.9833271"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2022","General Government - Central Government (S.1311)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2022","General Government - Local Government (S.1313)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2022","General Government - Social Insurance Fund (S.1314)","€milllion","630.9833271"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2022","Rest of World (S.212)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2023","General Government and Rest of World  (S.13+S.212)","€milllion","714.5126392"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2023","General Government - Total (S.13)","€milllion","714.5126392"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2023","General Government - Central Government (S.1311)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2023","General Government - Local Government (S.1313)","€milllion",""
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2023","General Government - Social Insurance Fund (S.1314)","€milllion","714.5126392"
"Self-employed Pay-Related Social Insurance contributions (D613CS)","2023","Rest of World (S.212)","€milllion",""
"Stamp duty (capital transactions) (D214C)","1995","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Stamp duty (capital transactions) (D214C)","1995","General Government - Total (S.13)","€milllion","0"
"Stamp duty (capital transactions) (D214C)","1995","General Government - Central Government (S.1311)","€milllion","0"
"Stamp duty (capital transactions) (D214C)","1995","General Government - Local Government (S.1313)","€milllion",""
"Stamp duty (capital transactions) (D214C)","1995","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Stamp duty (capital transactions) (D214C)","1995","Rest of World (S.212)","€milllion",""
"Stamp duty (capital transactions) (D214C)","1996","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Stamp duty (capital transactions) (D214C)","1996","General Government - Total (S.13)","€milllion","0"
"Stamp duty (capital transactions) (D214C)","1996","General Government - Central Government (S.1311)","€milllion","0"
"Stamp duty (capital transactions) (D214C)","1996","General Government - Local Government (S.1313)","€milllion",""
"Stamp duty (capital transactions) (D214C)","1996","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Stamp duty (capital transactions) (D214C)","1996","Rest of World (S.212)","€milllion",""
"Stamp duty (capital transactions) (D214C)","1997","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Stamp duty (capital transactions) (D214C)","1997","General Government - Total (S.13)","€milllion","0"
"Stamp duty (capital transactions) (D214C)","1997","General Government - Central Government (S.1311)","€milllion","0"
"Stamp duty (capital transactions) (D214C)","1997","General Government - Local Government (S.1313)","€milllion",""
"Stamp duty (capital transactions) (D214C)","1997","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Stamp duty (capital transactions) (D214C)","1997","Rest of World (S.212)","€milllion",""
"Stamp duty (capital transactions) (D214C)","1998","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Stamp duty (capital transactions) (D214C)","1998","General Government - Total (S.13)","€milllion","0"
"Stamp duty (capital transactions) (D214C)","1998","General Government - Central Government (S.1311)","€milllion","0"
"Stamp duty (capital transactions) (D214C)","1998","General Government - Local Government (S.1313)","€milllion",""
"Stamp duty (capital transactions) (D214C)","1998","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Stamp duty (capital transactions) (D214C)","1998","Rest of World (S.212)","€milllion",""
"Stamp duty (capital transactions) (D214C)","1999","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Stamp duty (capital transactions) (D214C)","1999","General Government - Total (S.13)","€milllion","0"
"Stamp duty (capital transactions) (D214C)","1999","General Government - Central Government (S.1311)","€milllion","0"
"Stamp duty (capital transactions) (D214C)","1999","General Government - Local Government (S.1313)","€milllion",""
"Stamp duty (capital transactions) (D214C)","1999","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Stamp duty (capital transactions) (D214C)","1999","Rest of World (S.212)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2000","General Government and Rest of World  (S.13+S.212)","€milllion","906.4989401"
"Stamp duty (capital transactions) (D214C)","2000","General Government - Total (S.13)","€milllion","906.4989401"
"Stamp duty (capital transactions) (D214C)","2000","General Government - Central Government (S.1311)","€milllion","906.4989401"
"Stamp duty (capital transactions) (D214C)","2000","General Government - Local Government (S.1313)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2000","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2000","Rest of World (S.212)","€milllion",""
